#x    u
0    0.4
0.00628931    0.4
0.0125786    0.4
0.0188679    0.400001
0.0251572    0.400001
0.0314465    0.400004
0.0377358    0.400004
0.0440252    0.400012
0.0503145    0.400012
0.0566038    0.400037
0.0628931    0.400037
0.0691824    0.400111
0.0754717    0.400111
0.081761    0.400312
0.0880503    0.400312
0.0943396    0.40083
0.100629    0.40083
0.106918    0.402067
0.113208    0.402067
0.119497    0.404824
0.125786    0.404824
0.132075    0.410507
0.138365    0.410507
0.144654    0.421305
0.150943    0.421305
0.157233    0.440099
0.163522    0.440099
0.169811    0.469857
0.176101    0.469857
0.18239    0.512367
0.188679    0.512367
0.194969    0.566615
0.201258    0.566615
0.207547    0.627694
0.213836    0.627694
0.220126    0.687426
0.226415    0.687426
0.232704    0.737127
0.238994    0.737127
0.245283    0.771336
0.251572    0.771336
0.257862    0.790019
0.264151    0.790019
0.27044    0.797562
0.27673    0.797562
0.283019    0.799413
0.289308    0.799413
0.295597    0.79917
0.301887    0.79917
0.308176    0.797933
0.314465    0.797933
0.320755    0.795176
0.327044    0.795176
0.333333    0.789493
0.339623    0.789493
0.345912    0.778695
0.352201    0.778695
0.358491    0.759901
0.36478    0.759901
0.371069    0.730143
0.377358    0.730143
0.383648    0.687633
0.389937    0.687633
0.396226    0.633385
0.402516    0.633385
0.408805    0.572306
0.415094    0.572306
0.421384    0.512573
0.427673    0.512573
0.433962    0.462869
0.440252    0.462869
0.446541    0.428653
0.45283    0.428653
0.459119    0.409944
0.465409    0.409944
0.471698    0.402327
0.477987    0.402327
0.484277    0.400275
0.490566    0.400275
0.496855    0.4
0.503145    0.4
0.509434    0.4
0.515723    0.4
0.522013    0.4
0.528302    0.4
0.534591    0.4
0.540881    0.4
0.54717    0.4
0.553459    0.4
0.559748    0.4
0.566038    0.4
0.572327    0.4
0.578616    0.4
0.584906    0.4
0.591195    0.4
0.597484    0.4
0.603774    0.4
0.610063    0.4
0.616352    0.4
0.622642    0.4
0.628931    0.4
0.63522    0.4
0.641509    0.4
0.647799    0.4
0.654088    0.4
0.660377    0.4
0.666667    0.4
0.672956    0.4
0.679245    0.4
0.685535    0.4
0.691824    0.4
0.698113    0.4
0.704403    0.4
0.710692    0.4
0.716981    0.4
0.72327    0.4
0.72956    0.4
0.735849    0.4
0.742138    0.4
0.748428    0.4
0.754717    0.4
0.761006    0.4
0.767296    0.4
0.773585    0.4
0.779874    0.4
0.786164    0.4
0.792453    0.4
0.798742    0.4
0.805031    0.4
0.811321    0.4
0.81761    0.4
0.823899    0.4
0.830189    0.4
0.836478    0.4
0.842767    0.4
0.849057    0.4
0.855346    0.4
0.861635    0.4
0.867925    0.4
0.874214    0.4
0.880503    0.4
0.886792    0.4
0.893082    0.4
0.899371    0.4
0.90566    0.4
0.91195    0.4
0.918239    0.4
0.924528    0.4
0.930818    0.4
0.937107    0.4
0.943396    0.4
0.949686    0.4
0.955975    0.4
0.962264    0.4
0.968553    0.4
0.974843    0.4
0.981132    0.4
0.987421    0.4
0.993711    0.4
1    0.4
