#x    u
0    0.4
0.00628931    0.4
0.0125786    0.4
0.0188679    0.4
0.0251572    0.4
0.0314465    0.4
0.0377358    0.4
0.0440252    0.4
0.0503145    0.4
0.0566038    0.4
0.0628931    0.4
0.0691824    0.4
0.0754717    0.4
0.081761    0.4
0.0880503    0.4
0.0943396    0.4
0.100629    0.4
0.106918    0.4
0.113208    0.4
0.119497    0.4
0.125786    0.4
0.132075    0.4
0.138365    0.4
0.144654    0.4
0.150943    0.4
0.157233    0.4
0.163522    0.4
0.169811    0.4
0.176101    0.4
0.18239    0.4
0.188679    0.4
0.194969    0.4
0.201258    0.4
0.207547    0.4
0.213836    0.4
0.220126    0.4
0.226415    0.4
0.232704    0.4
0.238994    0.4
0.245283    0.4
0.251572    0.4
0.257862    0.4
0.264151    0.4
0.27044    0.4
0.27673    0.4
0.283019    0.4
0.289308    0.4
0.295597    0.4
0.301887    0.4
0.308176    0.4
0.314465    0.4
0.320755    0.4
0.327044    0.4
0.333333    0.4
0.339623    0.4
0.345912    0.4
0.352201    0.4
0.358491    0.4
0.36478    0.4
0.371069    0.4
0.377358    0.4
0.383648    0.4
0.389937    0.4
0.396226    0.4
0.402516    0.4
0.408805    0.4
0.415094    0.4
0.421384    0.4
0.427673    0.4
0.433962    0.4
0.440252    0.4
0.446541    0.4
0.45283    0.4
0.459119    0.400002
0.465409    0.400002
0.471698    0.399981
0.477987    0.399981
0.484277    0.400168
0.490566    0.400168
0.496855    0.398741
0.503145    0.398741
0.509434    0.40786
0.515723    0.40786
0.522013    0.359986
0.528302    0.359986
0.534591    0.561059
0.540881    0.561059
0.54717    -0.0885626
0.553459    -0.0885626
0.559748    1.42722
0.566038    1.42722
0.572327    -0.846454
0.578616    -0.846454
0.584906    0.8
0.591195    0.8
0.597484    0.8
0.603774    0.8
0.610063    0.8
0.616352    0.8
0.622642    0.8
0.628931    0.8
0.63522    0.8
0.641509    0.8
0.647799    0.8
0.654088    0.8
0.660377    0.799998
0.666667    0.799998
0.672956    0.800019
0.679245    0.800019
0.685535    0.799832
0.691824    0.799832
0.698113    0.801259
0.704403    0.801259
0.710692    0.79214
0.716981    0.79214
0.72327    0.840014
0.72956    0.840014
0.735849    0.638941
0.742138    0.638941
0.748428    1.28856
0.754717    1.28856
0.761006    -0.227221
0.767296    -0.227221
0.773585    2.04645
0.779874    2.04645
0.786164    0.4
0.792453    0.4
0.798742    0.4
0.805031    0.4
0.811321    0.4
0.81761    0.4
0.823899    0.4
0.830189    0.4
0.836478    0.4
0.842767    0.4
0.849057    0.4
0.855346    0.4
0.861635    0.4
0.867925    0.4
0.874214    0.4
0.880503    0.4
0.886792    0.4
0.893082    0.4
0.899371    0.4
0.90566    0.4
0.91195    0.4
0.918239    0.4
0.924528    0.4
0.930818    0.4
0.937107    0.4
0.943396    0.4
0.949686    0.4
0.955975    0.4
0.962264    0.4
0.968553    0.4
0.974843    0.4
0.981132    0.4
0.987421    0.4
0.993711    0.4
1    0.4
